rank,player_name,cap_percent
,"Elijah Cooks",0
,"Brycen Tremayne",0
,"Carlos Washington",0
,"Malik Heath",0
,"Isaiah Winstead",0
,"Shedrick Jackson",0
,"Xavier Gipson",0
,"Jason Brownlee",0
,"Nikko Remigio",0
,"Tyrell Shavers",0
,"Jordan Mims",0
,"Owen Wright",0
,"Ryan Miller",0
,"Dylan Drummond",0
,"Jalen Moreno-Cropper",0
,"Lucky Jackson",0
,"Frank Gore",0
,"Isaiah Williams",0
,"Jacob Cowing",0
,"Malachi Corley",0
,"Marvin Harrison",0
,"Brian Thomas",0
,"Cody Schrader",0
,"Dante Miller",0
,"Tyrone Tracy",0
,"Bub Means",0
,"Anthony Gould",0
,"Tejhaun Palmer",0
,"Casey Washington",0
,"Jha'Quan Jackson",0
,"Cornelius Johnson",0
,"Tahj Washington",0
,"Mason Tipton",0
,"Xavier Weaver",0
,"JaQuae Jackson",0
,"Bryce Oliver",0
,"Xavier Johnson",0
,"Kameron Johnson",0
,"Ian Wheeler",0
,"Qadir Ismail",0
,"Jabari Small",0
,"Antwane Wells",0
,"Ricky White",0
,"Nick Nash",0
,"Ja'Quinden Jackson",0
,"Kalel Mullings",0
,"Luther Burden",0
,"Jimmy Horn",0
,"Arian Smith",0
,"Dont'e Thornton",0
,"Efton Chism",0
,"LeQuint Allen",0
,"Jordan Watkins",0
,"Robbie Ouzts",0
,"KeAndre Lambert-Smith",0
,"Kaden Prather",0
,"Dominic Lovett",0
,"Junior Bergen",0
,"JP Richardson",0
,"Stephen Gosnell",0
,"Jordan Moore",0
,"Courtney Jackson",0
,"Joaquin Davis",0
,"Josh Williams",0
,"Will Sheppard",0
,"Ahmani Marshall",0
,"Bryson Green",0
,"Luke Grimm",0
,"Mac Dalena",0
,"Ulysses Bentley",0
,"Coleman Owen",0
,"Josh Kelly",0
,"Traeshon Holden",0
,"Theo Wease",0
,"Andrew Armstrong",0
,"AJ Henning",0
,"Quincy Skinner",0
,"Dalen Cambre",0
,"Da'Quan Felton",0
,"Nathan Carter",0
,"Cam Camper",0
,"Quentin Skinner",0
,"Chandler Brayboy",0
,"Anthony Tyus",0
,"Dontae Fleming",0
,"Kye Robichaux",0
,"Lan Larison",0
,"Ke'Shawn Williams",0
,"Roc Taylor",0
,"Tru Edwards",0
,"Jordan Waters",0
,"Brennan Presley",0
,"Xavier Guillory",0
,"Myles Price",0
,"Gage Larvadain",0
,"Jacoby Jones",0
,"Kisean Johnson",0
,"Jimmy Holiday",0
,"Ja'seem Reed",0
,"Luke Floriea",0
,"Montorie Foster",0
,"Dalevon Campbell",0
,"Kyrese Rowan",0
,"Mitch Van Vooren",0
,"Jaden Smith",0
,"Dohnte Meyers",0
,"Omar Cooper",0
,"CJ Donaldson",0
,"Reggie Virgil",0
,"Mike Washington",0
,"Emmanuel Henderson",0
,"Eric Rivers",0
,"Noah Thomas",0
,"Jordan Hudson",0
,"DT Sheffield",0
,"Anthony Hankerson",0
,"Dane Key",0
,"Kevin Coleman",0
,"Davon Booth",0
,"Vinny Anthony",0
,"Trebor Pena",0
,"Jeff Caldwell",0
,"Josh Cameron",0
,"Donaven McCulley",0
,"Chase Roberts",0
,"Robert Henry",0
,"Kentrel Bullock",0
,"Noah Whittington",0
,"DeaMonte Trayanum",0
,"Kaden Wetjen",0
,"Barion Brown",0
,"Lewis Bond",0
,"Anthony Smith",0
,"Tyren Montgomery",0
,"Gregory Desrosiers",0
,"Sincere Brown",0
,"Jerand Bradley",0
,"Marcus Sanders",0
,"Dillon Bell",0
,"Devonte Ross",0
,"Michael Wortham",0
,"Brady Boyd",0
,"Will Pauling",0
,"Wesley Grimes",0
,"Harrison Wallace",0
,"Chris Hilton",0
,"Ja'Mori Maclin",0
,"Max Tomczak",0
,"Kobe Prentice",0
,"Camden Brown",0
,"Joseph Manjack",0
,"Cameron Ross",0
,"Kole Wilson",0
,"TJ Harden",0
,"Jaden Bradley",0
,"J. Michael Sturdivant",0
,"Hank Beatty",0
,"EJ Smith",0
,"Terion Stewart",0
,"Raylen Sharpe",0
,"E.J. Williams",0
,"Malik McClain",0
,"Caullin Lacy",0
,"Kyle Dixon",0
,"Cortez Braham",0
,"Octavian Smith",0
,"Dontae McMillan",0
,"Daniel Sobkowicz",0
,"Treyvhon Saunders",0
,"Sam Scott",0
,"Jaden Nixon",0
,"Xavier Loyd",0
,"Joshua Pitsenberger",0
,"Sahmir Hagans",0
,"E.J. Horton",0
,"Omari Kelly",0
,"Damon Bankston",0
,"Cameron Dorner",0
,"Nick DeGennaro",0
,"Terrill Davis",0
,"Anderson Castle",0
,"Miles Davis",0
,"Brandon Hayes",0
,"Kyre Duplessis",0
,"Roydell Williams",0
,"Jeff Weimer",0
,"Justin Jones",0
